province,cluster_id,cluster_name,exception_labels,pathway_evidence,pathway_class,pathway_score,specific_evidence
Anhui,1,Eastern production-infrastructure belt,signal reverser,sediment | fluoroquinolones | E. coli | Ceftazidime,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Hainan,1,Eastern production-infrastructure belt,signal reverser,sediment | sulfonamides | S. aureus | Cefoxitin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway
Hainan,1,Eastern production-infrastructure belt,signal amplifier; signal reverser,sediment | sulfonamides | P. aeruginosa | Aztreonam,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway; most influential province in LOO check
Hainan,1,Eastern production-infrastructure belt,signal reverser,sediment | sulfonamides | K. pneumoniae | Aztreonam,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway
Hainan,1,Eastern production-infrastructure belt,signal reverser,sediment | sulfonamides | A. baumannii | Gentamicin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway
Hainan,1,Eastern production-infrastructure belt,signal amplifier; signal reverser,sediment | sulfonamides | K. pneumoniae | Ampicillin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway; most influential province in LOO check
Hubei,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | S. aureus | Penicillin G,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Hubei,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | P. aeruginosa | Tobramycin,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Hubei,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | K. pneumoniae | Ceftriaxone,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Hubei,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | P. aeruginosa | Polymyxin B,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Hubei,1,Eastern production-infrastructure belt,signal reverser,sediment | macrolides | K. pneumoniae | Ampicillin,Strong lead,21,low sediment macrolides burden within a high-scoring pathway
Hunan,1,Eastern production-infrastructure belt,signal reverser,sediment | sulfonamides | P. aeruginosa | Piperacillin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway
Hunan,1,Eastern production-infrastructure belt,signal reverser,sediment | sulfonamides | S. aureus | Cefoxitin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway
Hunan,1,Eastern production-infrastructure belt,signal reverser,sediment | sulfonamides | P. aeruginosa | Aztreonam,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway
Hunan,1,Eastern production-infrastructure belt,signal reverser,sediment | sulfonamides | K. pneumoniae | Aztreonam,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway
Hunan,1,Eastern production-infrastructure belt,signal reverser,sediment | sulfonamides | A. baumannii | Gentamicin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway
Hunan,1,Eastern production-infrastructure belt,signal reverser,sediment | sulfonamides | K. pneumoniae | Ampicillin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,soil | tetracyclines | S. aureus | Penicillin G,Strong lead,21,environmental record count high for soil tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | sulfonamides | P. aeruginosa | Piperacillin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway; environmental record count high for sediment sulfonamides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | sulfonamides | S. aureus | Cefoxitin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway; environmental record count high for sediment sulfonamides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | sulfonamides | P. aeruginosa | Aztreonam,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway; environmental record count high for sediment sulfonamides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Levofloxacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Tobramycin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Imipenem,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | E. coli | Ceftazidime,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Piperacillin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | P. aeruginosa | Amikacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | K. pneumoniae | Polymyxin B,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | K. pneumoniae | Cefazolin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Ciprofloxacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Ertapenem,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | macrolides | S. aureus | Penicillin G,Strong lead,21,low sediment macrolides burden within a high-scoring pathway; environmental record count high for sediment macrolides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | P. aeruginosa | Imipenem,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | E. coli | Nitrofurantoin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | E. coli | Tigecycline,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | A. baumannii | Amikacin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Levofloxacin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | S. aureus | Amikacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Ceftazidime,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | S. aureus | Amikacin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Cefotetan,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | A. baumannii | Gentamicin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Amikacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | P. aeruginosa | Aztreonam,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Ceftazidime,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | A. baumannii | Polymyxin B,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | E. coli | Cefuroxime,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Polymyxin B,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | E. coli | Ceftriaxone,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Meropenem,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | E. coli | Cefepime,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | S. aureus | Nitrofurantoin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Imipenem,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | E. coli | Ampicillin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | sulfonamides | K. pneumoniae | Aztreonam,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway; environmental record count high for sediment sulfonamides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Tobramycin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | A. baumannii | Imipenem,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | sulfonamides | A. baumannii | Gentamicin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway; environmental record count high for sediment sulfonamides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Gentamicin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Meropenem,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | macrolides | P. aeruginosa | Tobramycin,Strong lead,21,low sediment macrolides burden within a high-scoring pathway; environmental record count high for sediment macrolides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Amikacin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Ciprofloxacin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | K. pneumoniae | Aztreonam,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | K. pneumoniae | Nitrofurantoin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | S. aureus | Clindamycin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | sulfonamides | K. pneumoniae | Ampicillin,Strong lead,21,low sediment sulfonamides burden within a high-scoring pathway; environmental record count high for sediment sulfonamides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | E. coli | Gentamicin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | P. aeruginosa | Gentamicin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | K. pneumoniae | Ciprofloxacin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | E. coli | Cefotetan,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | macrolides | K. pneumoniae | Ceftriaxone,Strong lead,21,low sediment macrolides burden within a high-scoring pathway; environmental record count high for sediment macrolides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | K. pneumoniae | Gentamicin,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | macrolides | P. aeruginosa | Polymyxin B,Strong lead,21,low sediment macrolides burden within a high-scoring pathway; environmental record count high for sediment macrolides
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | tetracyclines | E. coli | Cefotaxime,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; environmental record count high for sediment tetracyclines
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier,sediment | fluoroquinolones | K. pneumoniae | Ertapenem,Strong lead,21,environmental record count high for sediment fluoroquinolones
Jiangsu,1,Eastern production-infrastructure belt,coverage outlier; signal reverser,sediment | macrolides | K. pneumoniae | Ampicillin,Strong lead,21,low sediment macrolides burden within a high-scoring pathway; environmental record count high for sediment macrolides
Jilin,3,Inland surveillance-gap belt,signal amplifier,sediment | sulfonamides | A. baumannii | Gentamicin,Strong lead,21,most influential province in LOO check
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,soil | tetracyclines | S. aureus | Penicillin G,Strong lead,21,soil tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Levofloxacin,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Tobramycin,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Imipenem,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | P. aeruginosa | Amikacin,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Ciprofloxacin,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Ertapenem,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | P. aeruginosa | Imipenem,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Nitrofurantoin,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Tigecycline,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | S. aureus | Amikacin,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Ceftazidime,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Cefotetan,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Amikacin,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | P. aeruginosa | Aztreonam,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Meropenem,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Cefepime,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Ampicillin,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Gentamicin,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | K. pneumoniae | Aztreonam,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Cefotetan,Strong lead,21,sediment tetracyclines burden >= p90
Liaoning,2,Urban-industrial wastewater core,matrix hotspot,sediment | tetracyclines | E. coli | Cefotaxime,Strong lead,21,sediment tetracyclines burden >= p90
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Levofloxacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Tobramycin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Imipenem,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | E. coli | Ceftazidime,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Piperacillin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | P. aeruginosa | Amikacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | K. pneumoniae | Polymyxin B,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | K. pneumoniae | Cefazolin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Ciprofloxacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Ertapenem,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | P. aeruginosa | Imipenem,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | tetracyclines | E. coli | Nitrofurantoin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | tetracyclines | E. coli | Tigecycline,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | A. baumannii | Amikacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | P. aeruginosa | Levofloxacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | tetracyclines | S. aureus | Amikacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Ceftazidime,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | S. aureus | Amikacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Cefotetan,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | A. baumannii | Gentamicin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Amikacin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | P. aeruginosa | Aztreonam,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | P. aeruginosa | Ceftazidime,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | A. baumannii | Polymyxin B,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | E. coli | Cefuroxime,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | P. aeruginosa | Polymyxin B,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | E. coli | Ceftriaxone,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Meropenem,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | E. coli | Cefepime,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | S. aureus | Nitrofurantoin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | P. aeruginosa | Imipenem,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | tetracyclines | E. coli | Ampicillin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | P. aeruginosa | Tobramycin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | A. baumannii | Imipenem,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Gentamicin,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | P. aeruginosa | Meropenem,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | P. aeruginosa | Amikacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | P. aeruginosa | Ciprofloxacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | K. pneumoniae | Aztreonam,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | K. pneumoniae | Nitrofurantoin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | S. aureus | Clindamycin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal reverser,sediment | fluoroquinolones | E. coli | Gentamicin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | P. aeruginosa | Gentamicin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | K. pneumoniae | Ciprofloxacin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | E. coli | Cefotetan,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | K. pneumoniae | Gentamicin,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | tetracyclines | E. coli | Cefotaxime,Strong lead,21,low sediment tetracyclines burden within a high-scoring pathway; most influential province in LOO check
Qinghai,3,Inland surveillance-gap belt,signal amplifier; signal reverser,sediment | fluoroquinolones | K. pneumoniae | Ertapenem,Strong lead,21,low sediment fluoroquinolones burden within a high-scoring pathway; most influential province in LOO check
Shaanxi,3,Inland surveillance-gap belt,matrix hotspot,sediment | macrolides | S. aureus | Penicillin G,Strong lead,21,sediment macrolides burden >= p90
