table,name,definition,type,allowed_values,units,missing_value_rules
yearbook_clean,E07_05_Urban_Land_Use_Tax,Urban Land Use Tax (China Statistical Yearbook table E07_05),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Agriculture_Forestry_and_Water_Conservancy,Expenditure for Agriculture Forestry and Water Conservancy (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Assistance_to_Other_Regions,Expenditure for Assistance to Other Regions (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Commerce_and_Services,Expenditure for Commerce and Services (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Culture_Tourism_Sport_and_Media,Expenditure for Culture Tourism Sport and Media (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Education,Expenditure for Education (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Energy_Conservation_and_Environment_Protection,Expenditure for Energy Conservation and Environment Protection (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Financial_Affairs,Expenditure for Financial Affairs (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Foreign_Affairs,Expenditure for Foreign Affairs (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_General_Public_Services,Expenditure for General Public Services (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Health_Care,Expenditure for Health Care (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Housing_Security,Expenditure for Housing Security (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Interest_Payments_on_Debts,Expenditure for Interest Payments on Debts (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Issuing_Debts,Expenditure for Issuing Debts (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_National_Defense,Expenditure for National Defense (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Nature_Resources_Ocean_and_Weather,Expenditure for Nature Resources Ocean and Weather (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Prevention_of_Disasters_and_Emergency_Management,Expenditure for Prevention of Disasters and Emergency Management (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Public_Security,Expenditure for Public Security (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Reserve_of_Grain_Oil_and_Other_Materials,Expenditure for Reserve of Grain Oil and Other Materials (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Resource_Exploration_and_Industrial_Information,Expenditure for Resource Exploration and Industrial Information (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Science_and_Technology,Expenditure for Science and Technology (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Social_Security_and_Employment,Expenditure for Social Security and Employment (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Transportation,Expenditure for Transportation (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Expenditure_for_Urban_and_Rural_Community_Affairs,Expenditure for Urban and Rural Community Affairs (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_General_Public_Budget_Expenditure,General Public Budget Expenditure (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E07_06_Other_Expenditure,Other Expenditure (China Statistical Yearbook table E07_06),numeric,non-negative numeric; see unit,100_million_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_12_Nitrogen_Oxides,Nitrogen Oxides (China Statistical Yearbook table E08_12),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_12_Particulate_Matter,Particulate Matter (China Statistical Yearbook table E08_12),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_12_Sulphur_Dioxide,Sulphur Dioxide (China Statistical Yearbook table E08_12),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_14_Common_Industrial_Solid_Wastes_Discharged,Common Industrial Solid Wastes Discharged (China Statistical Yearbook table E08_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_14_Common_Industrial_Solid_Wastes_Disposed,Common Industrial Solid Wastes Disposed (China Statistical Yearbook table E08_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_14_Common_Industrial_Solid_Wastes_Generated,Common Industrial Solid Wastes Generated (China Statistical Yearbook table E08_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_14_Hazardous_Wastes_Generated,Hazardous Wastes Generated (China Statistical Yearbook table E08_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_14_Integrated_Reuse_and_Disposal_of_Hazardous_Wastes,Integrated Reuse and Disposal of Hazardous Wastes (China Statistical Yearbook table E08_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_14_Integrated_Reuse_of_Common_Industrial_Solid_Wastes,Integrated Reuse of Common Industrial Solid Wastes (China Statistical Yearbook table E08_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_14_Stock_of_Common_Industrial_Solid_Wastes,Stock of Common Industrial Solid Wastes (China Statistical Yearbook table E08_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_14_year_end_Stock_of_Hazardous_Wastes,year end Stock of Hazardous Wastes (China Statistical Yearbook table E08_14),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Harmless_Treatment_Capacity,Harmless Treatment Capacity (China Statistical Yearbook table E08_17),numeric,non-negative numeric; see unit,ton_per_day,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Harmless_Treatment_Capacity_Incinerate,Harmless Treatment Capacity Incinerate (China Statistical Yearbook table E08_17),numeric,non-negative numeric; see unit,ton_per_day,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Harmless_Treatment_Capacity_Others,Harmless Treatment Capacity Others (China Statistical Yearbook table E08_17),numeric,non-negative numeric; see unit,ton_per_day,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Harmless_Treatment_Capacity_Sanitary_Landfill,Harmless Treatment Capacity Sanitary Landfill (China Statistical Yearbook table E08_17),numeric,non-negative numeric; see unit,ton_per_day,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Number_of_Plants_Incinerate,Number of Plants Incinerate (China Statistical Yearbook table E08_17),integer,non-negative integer,number,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Number_of_Plants_Others,Number of Plants Others (China Statistical Yearbook table E08_17),integer,non-negative integer,number,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Number_of_Plants_Sanitary_Landfill,Number of Plants Sanitary Landfill (China Statistical Yearbook table E08_17),integer,non-negative integer,number,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Number_of_Plants_for_Harmless_Treatment_of_Domestic_Garbage,Number of Plants for Harmless Treatment of Domestic Garbage (China Statistical Yearbook table E08_17),integer,non-negative integer,number,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Rate_of_Domestic_Garbage_Harmless_Treatment,Rate of Domestic Garbage Harmless Treatment (China Statistical Yearbook table E08_17),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Volume_Treated_Incinerate,Volume Treated Incinerate (China Statistical Yearbook table E08_17),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Volume_Treated_Others,Volume Treated Others (China Statistical Yearbook table E08_17),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Volume_Treated_Sanitary_Landfill,Volume Treated Sanitary Landfill (China Statistical Yearbook table E08_17),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Volume_of_Domestic_Garbage_Collected_and_Transported,Volume of Domestic Garbage Collected and Transported (China Statistical Yearbook table E08_17),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_17_Volume_of_Domestic_Garbage_Harmlessly_Treated,Volume of Domestic Garbage Harmlessly Treated (China Statistical Yearbook table E08_17),numeric,non-negative numeric; see unit,10000_tons,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_20_Cultivated_Land,Cultivated Land (China Statistical Yearbook table E08_20),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_20_Forest_Land,Forest Land (China Statistical Yearbook table E08_20),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_20_Garden_Land,Garden Land (China Statistical Yearbook table E08_20),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_20_Grassland,Grassland (China Statistical Yearbook table E08_20),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_20_Land_Used_for_Transport,Land Used for Transport (China Statistical Yearbook table E08_20),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_20_Land_Used_for_Water_and_Water_Conservancy_Facilities,Land Used for Water and Water Conservancy Facilities (China Statistical Yearbook table E08_20),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_20_Land_for_Urban_Rural_Industrial_and_Mining_Activities,Land for Urban Rural Industrial and Mining Activities (China Statistical Yearbook table E08_20),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_20_Wetland,Wetland (China Statistical Yearbook table E08_20),numeric,non-negative numeric; see unit,1000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_21_Area_of_Afforested_Land,Area of Afforested Land (China Statistical Yearbook table E08_21),numeric,non-negative numeric; see unit,10000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_21_Forest_Area,Forest Area (China Statistical Yearbook table E08_21),numeric,non-negative numeric; see unit,10000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_21_Forest_Coverage_Rate,Forest Coverage Rate (China Statistical Yearbook table E08_21),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_21_Planted_Forest,Planted Forest (China Statistical Yearbook table E08_21),numeric,non-negative numeric; see unit,10000_hectares,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_21_Stock_Volume_of_Forest,Stock Volume of Forest (China Statistical Yearbook table E08_21),numeric,non-negative numeric; see unit,10000_cu_m,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_21_Total_Stock_Volume_of_Living_Trees,Total Stock Volume of Living Trees (China Statistical Yearbook table E08_21),numeric,non-negative numeric; see unit,10000_cu_m,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_33_Centralized_Heating,Centralized Heating (China Statistical Yearbook table E08_33),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_33_Drainage_Works,Drainage Works (China Statistical Yearbook table E08_33),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_33_Environmental_Sanitation,Environmental Sanitation (China Statistical Yearbook table E08_33),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_33_Gardening_and_Greening,Gardening and Greening (China Statistical Yearbook table E08_33),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_33_Gas_Supply,Gas Supply (China Statistical Yearbook table E08_33),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_33_Investment_in_Urban_Environmental_Infrastructure,Investment in Urban Environmental Infrastructure (China Statistical Yearbook table E08_33),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_34_Investment_Completed_in_the_Treatment_of_Industrial_Pollution,Investment Completed in the Treatment of Industrial Pollution (China Statistical Yearbook table E08_34),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_34_Treatment_of_Noise_Pollution,Treatment of Noise Pollution (China Statistical Yearbook table E08_34),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_34_Treatment_of_Other_Pollution,Treatment of Other Pollution (China Statistical Yearbook table E08_34),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_34_Treatment_of_Solid_Waste,Treatment of Solid Waste (China Statistical Yearbook table E08_34),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_34_Treatment_of_Waste_Gas,Treatment of Waste Gas (China Statistical Yearbook table E08_34),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_34_Treatment_of_Wastewater,Treatment of Wastewater (China Statistical Yearbook table E08_34),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Afforestation,Afforestation (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Biodiversity_Conservation,Biodiversity Conservation (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Desertification_Control,Desertification Control (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Forest_Management,Forest Management (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Forest_and_Grass_Fire_Prevention,Forest and Grass Fire Prevention (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Grassland_Protection_and_Restoration,Grassland Protection and Restoration (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Investment_Completed_in_the_Year,Investment Completed in the Year (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Nature_Reserve_Management_and_Monitoring,Nature Reserve Management and Monitoring (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Others,Others (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Prevention_and_Control_of_Forest_and_Grass_Pests,Prevention and Control of Forest and Grass Pests (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E08_35_Wetland_Protection_and_Restoration,Wetland Protection and Restoration (China Statistical Yearbook table E08_35),numeric,non-negative numeric; see unit,10000_yuan,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Agriculture_Forestry_Animal_Husbandry_and_Fishery,Agriculture Forestry Animal Husbandry and Fishery (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Construction,Construction (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Culture_Sports_and_Entertainment,Culture Sports and Entertainment (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Education,Education (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Financial_Intermediation,Financial Intermediation (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Health_and_Social_Service,Health and Social Service (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Hotels_and_Catering_Services,Hotels and Catering Services (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
yearbook_clean,E10_18_Information_Transmission_Software_and_Information_Technology,Information Transmission Software and Information Technology (China Statistical Yearbook table E10_18),percent,non-negative numeric; typically 0-100,percent,NA/blank in the long-format value cell means the metric was not reported for that province in the source extract (~1443 missing cells across 198 metrics; at most 31 provinces missing for a given metric).
